,Unnamed: 0,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,latitude,longitude,Vectors,kmeans
1588,1588,02/03/1959,23:56,"La Guardia Airport, New York, NY",American Airlines,320,Chicago - New York City,Lockheed  188A Electra,N6101A,1015,73.0,65.0,0.0,"While attempting to land in rain and fog at La Guardia Airport, the aircraft descended below the minimum altitude and crashed into the East River. The aircraft struck the water while in shallow descent at 150 mph with its landing gear and flaps extended. Primarily the crash resulted from the failure of the crew to properly monitor essential instruments for determining attitude due to preoccupation with particular aspects of the aircraft and its environment. Limited experience of the crew with this particular type of aircraft. Erroneous setting of the captain's altimeter. Possibly misinterpretation of the altimeter and rate of descent indicator.",40.7757145,-73.87336398511545,"[ -8.09458906  -1.65688829  20.51441383 -12.91794645  -1.68206544
 -15.53785168  10.07690585  15.59083414  -1.96790077  10.3330261
  32.57694596  15.53369746  10.20239001  -8.00122312 -20.88237554]",1
1589,1589,02/17/1959,16:00,"Gatwick, Surrey, England",Turkish Airlines (THY),,Ankara - Istanbul -  London,Vickers Viscount 794D,TC-SEV,429,24.0,14.0,0.0,"While on approach, the jet lost its wings and had its engines torn off as it ploughed 300 yards through the woods and landed upside down with trees embedded in the mangled fuselage and burst into flames. The flight had been diverted to Gatwick because of fog at London.  Cause unknown.",51.1970901,-0.6943123,"[-3.24959893 -0.43081395  5.55697729 -5.91227399 -2.35328896 -8.58604383
  6.36056419  7.83519168 -1.31382266  3.43612571 14.75875938  7.35984078
  3.2873515  -2.41481158 -8.83296761]",3
1590,1590,02/18/1959,,"Belen, Chile",Southern Cross Airways,,"Arica, Colombia - Puerto Suarez, Bolilvia",Curtiss C-46A,N68823,26818,5.0,5.0,0.0,The cargo plane was overloaded and could not maintain altitude after losing an engine. Crashed while attempting an emergency landing.,-41.4495719,-72.9603006,"[-2.48960948 -0.92215764  4.68609629 -4.17557787 -2.21277964 -6.37106666
  5.84331102  6.76220655 -1.11468089  0.54595116 10.6351651   6.81084305
  1.61045898 -2.08261259 -6.65439117]",3
1591,1591,11/21/1959,,"Beirut, Lebanon",Ariana Afghan Airlines,202,Beirut - Tehran,Douglas DC-4,YA-BAG,18367,27.0,24.0,0.0,"Crashed shortly after takeoff, 2.5 miles from Beirut Airport. Navigation error. Possible in-flight fire in the No. 1 engine which induced the pilot to start fire emergency action with a resulting reduction in the rate of turn and the rate of climb.",33.8959203,35.47843,"[ -3.38931676  -0.25057743   8.33963243  -7.13724229  -2.87561126
 -11.46227357   6.63380447  11.2233597   -1.99207974   3.73748434
  20.54901266  10.14676937   2.99717089  -4.59731177 -12.7703262 ]",4
1592,1592,03/05/1959,11:35,"Managua, Nicaragua",TACA,,Las Mercedes - Tegucigalpa,Vickers Viscount 763,YS-09C,082,19.0,15.0,0.0,"Crashed shortly after takeoff, inverted, into trees. Failure of No. 1 engine on climbout. The non-retraction of the landing gear immediately after the aircraft reached V2. Failure of engine No. 2 a few seconds later. The aircraft banked left, lost altitude and collided with trees. Engine failure cause unknown.",12.1544035,-86.2737642,"[ -2.54877968  -0.25094579   5.73281616  -8.68894451  -6.35777253
 -14.22705233   8.00286795  15.85673336  -3.42737721   2.08798683
  25.86164325  14.85191017   1.7520525   -7.73605787 -15.16758719]",4
1593,1593,03/12/1959,14:10,"Tobu, India",Indian Airlines,,,Douglas C-47A,VT-CYH,12493,7.0,5.0,0.0,The cargo plane crashed during an attempt by the pilot to clear high terrain under poor visibility conditions. He had previously descended to a low altitude in order to determine his position.,26.35099815,94.96842254493228,"[-6.50884674 -1.08322016 14.52683292 -7.05840328  2.82153109 -6.07348605
  5.55611682  3.21551626  0.27041149  6.89265482 12.97363186  3.6604227
  5.6016683  -2.28172259 -9.09052041]",2
1594,1594,03/13/1959,08:00,"Mahon, Spain",Aviaco,,Palma de Mallorca - Mahon,Bristol 170 Freighter 21E,EC-ADH,12776,18.0,1.0,0.0,"The plane banked to the right soon after leaving the ground and crashed to the ground. Strong gust of wind which tilted the aircraft to the right during final approach to land, causing it to crash to the ground",39.8894922,4.2662071,"[-4.18987415 -0.18360347  5.18663731 -5.91841805 -3.47961038 -8.76047236
  8.10747388  9.65096664 -1.60961357  1.7884212  14.08743095  8.64499307
  3.67245664 -0.56611374 -7.4019945 ]",3
1595,1595,03/29/1959,,"Near Banga, Central African Republic",Union Aeromaritime de Transport,,,Nord 2501 Noratlas,F-BGZB,2,9.0,9.0,0.0,Crashed while en route in the jungle.,5.022909101583083,22.346842303486067,"[-1.76850662 -0.64271056  1.90020794 -2.75471935  0.04123369 -2.95876384
  3.59207535  0.46721313  0.06434891  0.02777547  1.95046571 -0.14332858
  1.00992852  0.93112318 -1.66190039]",0
1596,1596,03/29/1959,10:45,"Near Silchar, India",Indian Airlines,,Dum Dum - Agartala-Singerbhil - Kumbhirgram,Douglas DC-3,VT-CGI,20176,24.0,24.0,0.0,Sustained structural failure while flying through a thunderstorm.,25.061936137815923,93.06718038974742,"[-0.89792734  0.01703992  2.02909619 -1.51068196  0.13531332 -1.50979769
  0.20724806  1.0344948  -0.29302807  1.68373957  3.14194602  0.76939176
  1.01206337 -0.94133765 -2.24755478]",0
1597,1597,03/30/1959,,"Alma, Georgia",Riddle Airlines,402,"Orlando, FL - Atlanta, GA",Curtiss C-46A,N7840B,30242,2.0,2.0,0.0,The cargo plane lost control after a fire broke out in the cargo hold.,31.5393701,-82.4623557,"[-1.52510902  0.05617182  0.29856337 -2.89348415 -2.71495417 -5.30960608
  4.27923119  5.12623537 -1.68917363 -1.0611741   6.99479407  4.60195208
  0.27620809 -0.70449292 -4.41135889]",0
1598,1598,04/17/1959,,"Puerto Kino, Mexico",Tigres Voladores,,Mexicale - Guaymas,Curtiss C-46F-1-CU,XA-MIS,22586,26.0,26.0,0.0,Exlpoded and caught fire near Bahia de Kino.  A bomb is believed to have exploded onboard.,19.5525246,-99.0418403,"[-0.40964973  0.02989826  0.41770551 -1.35753153 -1.07382652 -3.00519538
  2.48793232  3.30317754 -0.52064707  0.02482402  4.1766308   2.439107
  0.3607044  -0.14795852 -2.39162692]",0
1599,1599,04/23/1959,,"Van, Turkey",Air Charter,,"Ankara, Turkey - Bahrain",Avro 688 Super Trader,G-AGRH,1256,12.0,12.0,0.0,"The cargo plane aircraft, flying on instruments, drifted north of its normal track because of strong winds and crashed into Mt. Suphan. The winds were stronger than forecast. An accurate bearing could not be obtained at Mus and Van had not been checked.  Sub-normal temperatures would result in a high indicated altimeter reading. Calculations on the flight and contacts with beacons were not coordinated and controlled.",38.3249599,43.6589825,"[-5.42077017 -0.80771194  9.4628839  -7.89495921 -0.69897271 -8.5965796
  6.9944493   6.19854626 -0.60443345  4.84857452 14.07431561  5.5844531
  5.04356369 -1.44968231 -9.41778573]",3
1600,1600,04/29/1959,16:00,"Valdemeca, Spain",Iberia Airlines,,Barcelona - Madrid,Douglas DC-3,EC-ABC,19334,28.0,28.0,0.0,"Crashed into the east slopes of Sierra de Valdemeca after being diverted due to poor weather. Joaquin Blume, Spain's European gymnastics champion, killed. Unfavorable weather made it necessary to deviate from the planned route.",40.2241115,-1.7433762,"[-3.75243703 -0.0284154   8.61411092 -4.9279421   2.80807398 -4.48598694
  3.94894414  0.45050049  0.8566128   4.138421    6.98847511  0.86754805
  3.64917833 -0.17332332 -6.03881094]",0
1601,1601,05/02/1959,21:12,"Mallorca, Spain",Austria-Flugdienst,,Palma de Mallorca - Wien,Douglas DC-3,OE-FDA,12210,5.0,5.0,0.0,"Two minutes after reporting at 3,000feet the aircraft struck Alfabia peak at 3,300 feet. Insufficient altitude while flying at normal climb power.",39.613432,2.8829184529439638,"[-2.79402445  0.30369453  4.28385195 -4.98642042 -1.41808137 -6.06155825
  5.01233567  5.79058874 -1.15198912  2.04639092  9.73913801  5.04184435
  2.24875148 -1.80939558 -5.91928583]",3
1602,1602,05/12/1959,15:29,"Charleston, West Virginia",Capital Airlines,983,Pittsburg - Charleston,Lockheed C-69 Constellation,N2735A,1978,44.0,2.0,0.0,"The pilot intentionally ground looped the aircraft, which slid down a steep embankment caught fire and burned. Landing too fast on a wet runway under conditions conductive to aquaplaning.",38.3505995,-81.6332812,"[-2.55106561 -0.61467717  5.57640039 -3.77731525 -1.03535709 -5.15945739
  5.06505434  5.90766301 -0.78086133  2.37026722 10.35378629  5.72139412
  2.3693324  -1.801289   -6.28173675]",3
1603,1603,05/12/1959,16:13,"Chase, Maryland",Capital Airlines,75,New York City - Atlanta,Vickers Viscount 745D,N7463,287,31.0,31.0,0.0,"Disintegrated in-flight due to severe turbulence after penetrating a thunderstorm. Icing. A farmhand observed a large chuck of ice fall from the plane seconds before the crash. A second plane crash involving Capital Airlines occurred at Charleston, WV on this same day.",39.3634413,-76.3710704,"[-3.88006268 -0.66662815  5.52909948 -6.16687492 -1.74025902 -8.393509
  5.81001598  6.38248988 -1.04261609  4.24360839 12.91319275  6.17581507
  3.30624668 -1.46649654 -9.13386285]",3
1606,1606,05/21/1959,,"Moro, Peru",Lineas Aéreas Interpolar,,Talara  - Arica,Curtiss C-46A-50-CU,CC-CIA-497,30482,8.0,8.0,0.0,Crashed into a  mountain while en route..,-9.1388841,-78.1830024,"[-2.32817355 -0.68716979  2.79120499 -3.6416758   0.28571564 -3.58333421
  4.51725644  0.50533301  0.13386714  0.39776722  2.72980645 -0.18229216
  1.47106916  1.0982776  -2.02499722]",0
1607,1607,06/01/1959,,Nicaragua,Aerolineas Nacionales,,,Curtiss C-46,TI-1020,,60.0,60.0,0.0,"The plane, carrying Nicaraguan rebels was shot down by a Nicaraguan Air Force fighter.",12.6090157,-85.2936911,"[-1.22133568 -0.17510569  1.17118533 -2.37008795 -1.19380163 -4.63907069
  4.09676504  3.64901701 -0.15671308  1.34446415  5.50055265  3.0489262
  1.64068039 -0.9174897  -3.2983436 ]",0
1612,1612,08/14/1959,17:14,"Karachi, Pakistan",Pakistan International Airlines,,,Vickers 815 Viscount,AP-AJE,337,3.0,2.0,0.0,"The trainee captain attempted a maneuver in disregard of the prescribed limitations of such a maneuver. A two-engine overshoot was attempted at a very low height and below the prescribed minimum speed, when the aircraft was committed to a landing. This resulted in a violent yaw and sharp drop which could not be controlled. The training captain was conversant with the minimum requirements of a two-engine overshoot of the Viscount 815 aircraft but appears to have overestimated his performance.",24.8546842,67.0207055,"[ -4.37259855  -0.47728455  13.40204716  -8.7085269   -1.12090015
 -11.18421611   5.84628746  11.69832995  -1.81654495   7.46743756
  24.74119067  12.3998619    5.7822819   -8.86897507 -15.83458173]",4
1613,1613,08/15/1959,16:42,"Calverton, New York",American Airlines,514,Training,Boeing 707-123,N7514A,17641/36,5.0,5.0,0.0,The crew failed to recognize and correct the development of excessive yaw which caused an unintentional rolling maneuver at an altitude too low to permit complete recovery.,40.9064873,-72.7434331,"[-1.33900953  0.23177239  4.1537553  -2.08821395  0.25895266 -2.72789729
  0.50394293  2.31433797 -0.55099537  2.42947086  6.76946241  2.75926751
  1.6249567  -2.63867152 -4.40313435]",0
1614,1614,08/19/1959,,"Near Barcelona, Spain",Transair,,Barcelona - London,Douglas DC-3,G-AMZD,16112/3286,32.0,32.0,0.0,"Nineteen minutes after taking off and while climbing, the aircraft entered a cloud and struck Mt. Monseny. Pilot did not follow prescribed regulations.",41.61198882708116,2.1997795592385243,"[-3.07560244 -0.13654903  6.41771771 -4.8684971  -0.08211752 -5.17440321
  5.06484275  4.25670923 -0.41117348  2.88266832  9.35939211  3.72661621
  2.82410683 -1.20895867 -5.28385442]",3
1615,1615,08/27/1959,,"Near Asuncion, Paraguay",Aerolineas Argentinas,,,de Havilland DH-106 Comet 4,LV-AHP,6411,50.0,2.0,0.0,The aircraft descended below MDA and crashed 5 miles short of the runway while on approach to Asuncion. Pilot error.,-25.20339593725248,-57.46148968146332,"[-3.10597582 -1.14727976  6.6369735  -3.85938682 -0.89090575 -3.71185306
  5.12500229  4.26788404 -0.39237755  2.57814003  8.43701077  5.02025186
  3.65013205 -0.06153207 -3.75175712]",3
1616,1616,09/02/1959,,"Abilene, Texas",Aaxico Airlines,,"Abilene, TX - Forth Worth, TX",Curtiss C-46A,N5140B,26809,2.0,2.0,0.0,"The cargo plane took off, rose to 200 ft., stalled and crashed. Elevator control lost. The aft link assembly became disconnected from the clevis in the elevator control horn assembly when an improperly secured bolt backed out.",32.44645,-99.7475905,"[-3.30017227 -0.17572471  2.84806979 -5.20991009 -3.18467785 -8.22462469
  5.83302723  7.21243802 -2.49203641  0.87985589 11.93298453  6.77573046
  1.25066333 -2.39964461 -7.61185506]",3
1617,1617,09/08/1959,,"Poza Rica, Mexico",Mexicana,,Mexico City - Merida,Douglas DC-3,,,16.0,1.0,0.0,"An in-flight explosion occurred in the passenger cabin. A male passenger, who was believed to have been carrying a bomb, fell from the airplane from an altitude of 11,000ft.  A forced landing was made at Poza Rica after a fire broke out in the cabin.",20.5320852,-97.4536355,"[-2.43651678  0.28580543  5.25909717 -5.4014331  -1.71004758 -9.19391936
  5.39546131  7.75648283 -0.79142376  3.25329692 14.05514044  7.45765425
  2.5003015  -4.06381257 -9.68567514]",3
1618,1618,09/12/1959,,"Near Tegucigalpa, Honduras",Pan American World Airways,,San Salvador - Miami,Douglas DC-4,N88900,10504,3.0,3.0,0.0,"Shortly after taking off, the cargo plane deviated from it's intended course and struck a mountain, for reasons unknown.",14.424276118263531,-86.87613646273907,"[-2.59728513 -0.49979583  3.30705203 -5.02469    -1.49909854 -6.10264647
  6.74215836  4.77402856 -0.78041663  0.52001587  8.6796636   4.25107616
  1.43164435 -0.24525471 -4.73753458]",3
1619,1619,09/23/1959,18:40,"Sao Paulo, Brazil",VASP,,Sao Paulo - Rio de Janeiro,Saab Scandia 90A-1,PP-SQV,106,20.0,20.0,0.0,Crashed a few minutes after taking off from Sao Paulo Airport. Cause undetermined.,-23.5506507,-46.6333824,"[-1.00640583 -0.36809524  1.46014519 -2.754168   -1.39413769 -4.42200601
  4.53449938  3.79037262 -0.23452451  0.75676772  6.04973191  2.91813025
  0.56451604  0.0753236  -3.45630956]",0
1620,1620,09/24/1959,22:24,"Bordeaux, France",T.A. Intercontinentaux (France),,Bordeaux - Bamako,Douglas DC-7C,F-BIAP,45366/892,65.0,53.0,0.0,"Crashed shortly after takeoff, not gaining altitude and colliding with trees. Crew did not properly monitor altimeter.",44.841225,-0.5800364,"[-1.58252509  0.04493218  3.46469662 -2.61336561 -0.96124022 -3.91807714
  2.81947105  3.66370588 -0.82236613  0.85138999  7.35965264  3.60674292
  1.36864167 -1.54411373 -4.09558904]",0
1621,1621,09/24/1959,17:20,"Great Sitkin Island, Alaska",Reeve Aleutian Airlines,3,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,N63396,10486,16.0,16.0,0.0,Crashed into a mountain while on approach to Adak. Improper approach. Crew error. Pilot did not fly in accordance with visual flight rules over hazardous terrain.,52.04217505,-176.10210446029208,"[-3.9619746  -0.92849546 13.52299517 -5.54917304  3.32218403 -4.3347913
  2.42348113  1.43290303  0.57910211  7.39432172 12.0645262   3.5046935
  5.71009541 -3.41302657 -7.8230693 ]",2
1622,1622,09/29/1959,23:09,"Buffalo, Texas",Braniff Airlines,542,Houston - Dallas,Lockheed 188A Electra,N9705C,1090,34.0,34.0,0.0,"In-flight separation of the left wing resulted in the aircraft crashing 3 miles southeast of Buffalo, Texas. A design flaw caused an oscillation known as  mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. One of two accidents with the same cause. See 3/17/1960.",31.4634891,-96.0641283,"[ -2.44369607   1.10778455   2.9217184   -6.7790982   -3.98228937
 -10.64925364   4.12925644   9.91516923  -2.6585605    4.50781988
  17.92941195   8.90069018   2.30374395  -5.21141319 -12.21175092]",4
1623,1623,10/26/1959,20:18,"Santa Maria, California",PacifiAir Lines,308,Los Angeles - Oxnard - Santa Maria - Paso Robles,Douglas C-47A-DL,N67589,19656,19.0,1.0,1.0,"Moments after rotation the left engine exploded and caught fire. The elevator of the plane hit a 12,000 volt powerline and crash landed upright sliding 65 feet. The only fatality was the first officer who was thrown clear of the accident still strapped to his seat. The number 5 cylinder of the left engine failed leading to an explosion that deformed the left engine's ring cowl to a degree that cause excessive drag and buffeting that made sustained flight impossible. Maintenance records showed the engine had a troubling number of oil leaks.",34.9531295,-120.435857,"[ -3.14645245   0.51380296   4.45850526  -8.73665838  -7.45139087
 -17.01034066   9.12354586  18.07817518  -4.54096651   2.19620054
  28.91728055  17.10695161   1.6184737   -7.26884701 -17.45225984]",4
1624,1624,10/29/1959,15:25,"Athens, Greece",OlympiAirways,214,Athens - Thessaloniki,Douglas DC-3,SX-BAD,9491,18.0,18.0,0.0,Engine failure on takeoff. The plane crashed 5 minutes later. Failure of the gudgeon pin bearing of the No.6 piston of the left engine.,37.9755648,23.7348324,"[-0.8785754   0.1642043   0.73226289 -3.90440434 -3.85730255 -7.17995644
  4.29842177  8.0220001  -2.11146346 -0.5360674  11.64253443  7.24274442
 -0.10305723 -2.78645664 -6.42057297]",3
1626,1626,11/04/1959,23:07,"St. Cleophas, Quebec, Canada",Wheeler Airlines,1658,Montreal - Hall Lake,Douglas C-54A,CF-ILI,10360,5.0,5.0,0.0,The cargo plane exploded in midair while en route after an engine fire.,48.4922701,-67.7436256,"[-2.29789256 -0.16516326  1.65153814 -4.91023934 -1.95663125 -6.97691935
  6.68604347  4.73196469 -0.77293686 -0.33794799  7.2550858   3.35589394
  1.27579593 -0.22149704 -4.83428739]",3
1627,1627,11/16/1959,00:55,Gulf of Mexico,National Airlines,967,Tampa - New Orleans,Douglas DC-7B,N4891C,45355,42.0,42.0,0.0,"The aircraft crashed into the Gulf of Mexico at 29 degrees 13 minutes N, 88 degrees 40 minutes W or about 108 miles east-southeast of New Orleans, while on a flight from Tampa to New Orleans. Sabotage (explosion of a bomb aboard) was strongly suspected but could never be proven due to lack of physical evidence.  There is a possibility that there is a connection between this crash and the National Airlines crash of January 6, 1960. No one was charged in either case.",25.2834459,-89.9066163,"[ -3.08519254   0.92644156   5.43453535  -6.69879133  -1.70330836
 -10.7297858    6.86191872   7.93246746  -0.75562905   5.03511658
  15.10946512   7.02023853   3.32987325  -2.67791444 -10.29264   ]",3
1629,1629,11/24/1959,05:35,"Chicago, Illinois",Trans World Airlines,595,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,N102R,4824,3.0,3.0,8.0,"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift.",41.8755616,-87.6244212,"[ -9.74275584  -1.28418624  17.32154017 -17.27327313  -6.87973177
 -23.70185614  17.39540458  23.81114681  -4.24808238   8.33277191
  41.35609233  22.01259917   8.36599798  -7.69525638 -25.44968989]",1
1631,1631,12/08/1959,16:57,"Off Cartagena, Colombia",Sociedad Aeronautica Medellin,,San Andres Island - Cartagena,Curtiss C-46A,HK-515,26941,45.0,45.0,0.0,Disappeared en route. Right landing gear found on Moron Island.  Cause undetermined.,10.907442133348775,-75.15234998901076,"[-2.55708134 -1.3880841   3.48865875 -5.90633016 -1.24460454 -7.63890237
  6.37871104  4.37339609 -0.04848454  1.56489182  9.48694238  3.74007492
  1.50195669 -1.06339278 -7.13200434]",3
1633,1633,12/17/1959,02:20,"Ketchikan, Alaska",California Aircraft,,Juneau - Annette Island,Consolidated PBY-5A Catalina,N64T,,3.0,3.0,0.0,The cargo plane cashed en route after reporting engine trouble.,55.3430696,-131.6466819,"[-2.00186338 -0.58108684  1.28685511 -3.77413452 -1.25279486 -4.48930854
  5.05931047  2.33903567 -0.5093343  -0.89094887  4.15396765  1.75772157
  0.65580764  0.38518473 -2.86131676]",0
1634,1634,12/21/1959,07:16,"Rome, Italy",Alitalia,,Training,Vickers 785D Viscount,I-LIZT,378,2.0,2.0,0.0,Crashed into a hanger during a practice landing. The accident was attributed to a balked landing maneuver carried out below the speed limits for safe directional control of the aircraft during a critical situation that developed in the last phase of the landing in the course of a simulated emergency exercise with two power units inoperative.,41.8933203,12.4829321,"[-2.30934141 -1.1085483   5.88270048 -4.553668   -2.5618477  -7.53676397
  5.27372745  8.97642704 -1.50499124  3.64812495 14.72990823  8.81952664
  2.29941128 -4.34953053 -9.90482536]",3
1636,1636,12/24/1959,05:00,"Palembang, Indonesia",Garuda Indonesia Airlines,330,,Douglas C-47A,PK-GDV,13535,2.0,1.0,0.0,"Shortly after takeoff the cargo plane lost the No. 2 engine, tried to return to the airport but crashed. Failure of the right engine, a lack of precaution on the part of the captain and marginal weather. A contributing factor may have been the overloaded condition of the aircraft, however, not to such an extent that it forced the aircraft to descend to a dangerously low altitude.",-2.9888243,104.7568507,"[ -6.53611927  -0.54569395  15.09416949 -11.0517422   -1.2520892
 -14.73367533   7.48807927  12.66160542  -2.68058212   7.06654205
  28.3775453   12.8599435    5.98000292  -7.91809734 -18.77297795]",4
1637,1637,12/31/1959,,"Near San Jose de Chiquitos, Bolivia",Lloyd Aereo Boliviano,,,Douglas DC-3,CP-584,19226,11.0,11.0,0.0,Crashed on takeoff.,-17.74330519525078,-60.375311157349664,"[-0.46184433 -0.13937593  0.23537515 -0.70946065 -0.8954758  -1.39052325
  1.55449948  1.74280393 -0.45675804 -0.31247744  2.13089436  1.43003607
  0.12293936  0.03680232 -0.94087049]",0
1638,1638,01/03/1960,10:40,"Taksing, India",Indian Airlines,,,Douglas C-47A,VT-CGG,12821,9.0,9.0,0.0,"The cargo plane crashed while dropping supplies and making a narrow turn in a valley. The accident was attributed to an error in navigation which caused the pilot to enter the wrong valley. During an attempt to turn back in a restricted area, the aircraft stalled and crashed.",28.4345031,93.2038913,"[-4.78779018 -1.16355858  7.61467926 -7.00329171 -2.76925559 -9.34693676
  8.36593004  9.33063474 -1.26483495  3.39379664 15.517739    8.37465204
  3.31782521 -1.63728307 -9.73778415]",3
1640,1640,01/10/1960,15:38,Gulf of Sirte,Military - U.S. Army,,Misurata - Benghazi,de Havilland Canada U-1A Otter,55-2974,47,10.0,10.0,0.0,"Missing, never found.",31.2928312,18.045410836206678,"[-0.37701681  0.03026022  0.41811576 -0.75615507 -0.09028991 -1.04741263
  0.6998089   0.29406428  0.08400154  0.43843642  0.96527886  0.34955487
  0.25055265  0.06736868 -0.89023793]",0
1641,1641,01/18/1960,22:19,"Charles City, Virginia",Capital Airlines,20,Washington D.C. - Norfolk,Vickers Viscount 745D,N7462,217,50.0,50.0,0.0,"The aircraft crashed and burned in a wooded area, striking the ground in a level attitude. The delayed arming of the engine ice-protection systems while flying through icing conditions, causing eventual flame-out of the four engines. This condition existed for sufficient time to cause a drop in battery electrical energy, preventing the unfeathering and relighting of sufficient engines to maintain flight. The aircraft was then dived in an  effort to attain sufficient airspeed to drive the propellers out of the feathered positions by wind-milling.  At the same time, multiple attempts were made to relight one or more engines. Successful relights were either interrupted by auto-feather action initiated by premature advancing of the throttles prior to complete light up of an engine or prevented by insufficient battery electrical energy. No. 4 engine was eventually  relit and the crew had just successfully relit No. 3 engine when the aircraft crashed.",37.3705777,-77.0605098,"[ -9.41778488   0.38078162  17.97720099 -17.58441499  -5.75271475
 -26.19523773  14.40948623  23.4229857   -4.11784867  12.08792137
  46.75314474  22.43639464   8.17569596 -11.01417091 -30.16034767]",1
1642,1642,01/19/1960,18:47,"Ankara, Turkey",Scandinavian Airlines (SAS),871,Istanbul - Ankara,Sud Aviation Caravelle 1,OY-KRB,014/14,42.0,42.0,0.0,"While on a flight from Istanbul to Ankara, Turkey the aircraft crashed while on approach to Esenboga Airport, 6 nm short of the runway. The aircraft struck the ground at an elevation of 3,500 ft, between the Ankara mountain range and the airport. An unintentional descent below the authorized minimum flight altitude during final approach to Esenboga Airport for reasons that could not be determined. The aircraft was named Orm Viking.",39.7160439,32.7059948,"[ -8.03349884  -1.61752999  17.80394635 -11.2227786    0.0816812
 -11.48285452  10.308089     9.58209102  -0.81116345   7.84839029
  23.13144928  10.71942263   9.01571721  -3.3050055  -13.22844827]",2
1645,1645,01/26/1960,00:15,"Off Bathurst Island, Australia",Transportes Aéreos de Timor,,Darwin - Baucau,de Havilland DH-114 Heron 2D,CR-TAI,14132,9.0,9.0,0.0,Radio contact was lost with the aircraft before it crashed into the ocean. Poor weather.  Unqualified pilot.,-11.135293336353994,130.49196004700838,"[-3.45730644 -0.51361334  7.51758157 -4.33139926  0.90795973 -4.79334173
  4.23384926  2.65095451 -0.13995477  3.61906989  8.12757742  2.79031584
  2.80389917 -1.07741863 -5.88545957]",0
1647,1647,02/26/1960,13:07,"Rio de Janeiro, Brazil",REAL / Military - U.S. Navy,,Campos - Rio de Janeiro,Douglas DC-3 / USN R-6D-1,PP-AXD/131582,13326 / 43685-307,61.0,61.0,0.0,"Midair collision between a DC-3 and a US Navy R-6D. Improper piloting procedures when flying on authorized instrument flight (US Navy pilot). The pilot of the USN plane disobeyed instructions transmitted by Rio Approach Control. The U.S. Navy disagreed and placed no blame on neither pilot. Twenty six killed on the DC-3, 35 on the R-6D-1. Members of the United States Navy Band among those killed.",-22.9110137,-43.2093727,"[ -4.19353042   2.15746106  12.96288966  -7.46048638   2.35124578
 -10.40912428   4.27530608   5.73354689   0.41161187  10.83923072
  17.85781699   6.48115068   7.36092777  -7.56118482 -12.22718477]",2
1648,1648,02/26/1960,,"Shannon, Ireland",Alitalia,,Shannon - New York City,Douglas DC-7C,I-DUVO,45231/945,52.0,34.0,0.0,Lost altitude shortly after taking off and crashed. Cause unknown.,53.1349614,-8.1611027,"[-1.38356747 -0.13994054  2.22849091 -3.3115617  -1.41811373 -4.96761045
  3.9963342   3.93255857 -0.76335352  0.64173533  7.21522331  3.3843936
  0.58739487 -1.2210881  -4.2330378 ]",0
1650,1650,03/15/1960,,"El Refugio, Colombia",Agencia Interamericana de Aviada,,Aracacuara - Villavicencio,Consolidated PBY-5A Catalina,HK-1001E,,13.0,6.0,0.0,Crashed en route.,4.318046949999999,-74.80085188684674,"[-1.76850662 -0.64271056  1.90020794 -2.75471935  0.04123369 -2.95876384
  3.59207535  0.46721313  0.06434891  0.02777547  1.95046571 -0.14332858
  1.00992852  0.93112318 -1.66190039]",0
1651,1651,03/16/1960,,"Near Tokyo, Japan",All Nippon Airways,,Tokyo - Nagoya,Douglas DC-3,JA-5018,6006,33.0,3.0,0.0,Mid-air collision with a Japan Air Self Defence Force F-86 fighter which was taking off from Nagoya. Both planes crashed but the F-86 pilot ejected safely.,36.10927467209522,139.97915495719266,"[-2.07025966  0.02134768  2.62313301 -3.59402454 -1.20608846 -7.07146868
  6.10290678  5.79110875 -0.32834728  2.86867559  8.52706355  4.33875462
  2.53340266 -1.64382143 -4.99091908]",3
1653,1653,03/19/1960,11:10,"Cordoba, Colombia",SAMSA,901,San Andres - Medellin,Curtiss C-46,HK-516,2927/384,46.0,25.0,0.0,"Forced landing after engine failure. The accident was attributed to an error in judgment by the pilot in deciding to land at an airport which was closed and where no radio aid was available. Contributing factors were intermittent overspeeding of propellers, adverse weather and no communication tower.",8.3344713,-75.6666238,"[ -4.69800306  -0.93615183  14.29122898  -5.90717124   2.81485461
  -6.99872373   2.02093854   4.33627081   0.33253667   9.30959494
  17.21008039   5.87902538   5.57913623  -5.33071902 -12.34647033]",2
